ASN,rovista_score
1,0.0
11537,0.0
25139,0.0
147167,0.0
203066,0.0
265304,0.0
265398,0.0
2,1.0
52640,0.0
132298,0.0
262569,0.0
3,0.0
293,0.0
6939,0.0
22608,0.0
54755,0.0
267707,0.0
4,0.0
2635,0.5
5,0.0
208304,0.0
395240,0.0
6,0.0
36969,0.0
37440,0.0
7,1.0
8,0.0
1700,0.0
25944,0.0
12,1.0
54965,0.0
394666,1.0
24,1.0
7575,1.0
10343,0.0
33,0.0
13979,0.0
54680,0.0
34,1.0
35,0.0
5691,0.0
42,1.0
112,1.0
187,0.0
553,0.0
715,1.0
852,1.0
917,0.0
1280,1.0
1955,1.0
2500,0.0
2518,0.0
2593,0.0
2594,0.0
2686,0.0
2906,0.75
3856,0.0
4181,1.0
4608,0.0
4637,1.0
4657,0.0
5405,1.0
5483,0.0
6507,0.0
6730,0.0
6762,0.0
6774,0.0
6830,1.0
8447,0.0
8448,1.0
8612,0.0
8968,1.0
9036,1.0
9050,1.0
9137,1.0
9146,0.0
9957,0.0
10310,1.0
10886,0.0
12303,0.0
12337,1.0
12693,0.0
12731,0.0
12732,0.0
12759,0.0
13113,1.0
13194,0.0
13335,0.0
14907,0.0
15388,0.0
15566,0.0
15605,1.0
15958,0.0
16276,0.0
16552,0.0
16668,0.0
17639,0.0
19151,0.0
19281,0.0
20562,0.0
20647,0.0
20676,1.0
20766,0.0
20783,0.0
20912,1.0
20932,0.0
20940,0.0
21176,0.0
21320,0.0
21333,0.0
21334,1.0
21556,0.0
21859,0.0
23367,0.0
23673,0.0
24429,0.0
24806,0.0
25415,1.0
25875,0.0
29278,0.0
29405,1.0
29670,0.0
31121,0.0
31529,0.0
31638,0.0
31742,0.0
32590,0.0
32934,1.0
33353,1.0
34171,0.0
34224,0.0
34422,0.0
34606,1.0
34655,0.0
34691,0.0
34758,1.0
35008,0.0
35053,0.0
35263,0.0
35311,0.0
35369,0.0
35708,0.0
35710,0.0
37697,0.0
39479,0.0
39679,0.0
41090,0.0
41206,0.0
41303,0.0
41364,1.0
41627,1.0
41644,1.0
41666,0.0
41692,0.0
41897,0.0
42669,1.0
43500,0.0
44092,1.0
44194,0.0
44302,1.0
44460,0.0
46450,0.0
47116,1.0
47169,0.0
47381,0.0
47692,0.0
49206,0.0
49463,0.0
50031,0.0
50266,1.0
50472,0.0
50629,1.0
50869,0.0
50877,1.0
51013,0.0
51184,0.0
51300,1.0
51324,0.0
52304,0.0
52306,0.0
52320,0.0
53828,0.0
54113,0.0
56322,1.0
56665,0.0
56755,0.0
57111,0.0
57976,1.0
59507,0.0
59649,0.0
60673,0.0
60943,0.0
61211,0.0
132825,0.0
140627,0.0
151358,0.0
196983,1.0
197248,1.0
198240,0.0
199125,0.0
199837,0.0
200964,0.0
200970,0.0
201701,0.0
204188,0.0
204384,0.0
205926,0.0
206892,1.0
207054,0.75
207349,0.0
207638,0.0
208972,0.0
210144,0.0
210788,0.0
212232,0.0
212686,0.0
213746,0.0
264409,0.0
327782,0.0
328320,0.0
394256,1.0
396986,0.0
398891,0.0
46,0.0
55,1.0
69,0.0
46274,1.0
57,0.0
217,0.0
675,0.0
1998,0.0
2698,0.0
6263,0.0
7896,0.0
7973,1.0
12042,1.0
14763,0.0
15336,0.0
17234,0.0
18454,0.0
21727,0.0
21951,0.0
26557,0.0
30220,0.0
32907,0.0
33189,0.0
33455,0.0
33692,0.0
40497,0.0
62,0.0
19,1.0
286,0.0
2165,0.0
2723,1.0
3828,0.0
4230,1.0
4891,0.0
6300,1.0
8119,0.0
10511,0.0
10723,0.0
10848,0.0
11189,0.0
14032,0.0
14862,0.0
16391,1.0
16525,1.0
16678,0.0
17038,0.0
17377,0.0
18649,0.0
18676,0.0
18689,0.0
19137,0.0
19311,0.0
19606,0.0
19787,0.0
20333,0.0
20339,0.0
21945,0.0
21961,1.0
22104,0.0
22334,0.0
22575,0.0
22688,0.0
22717,0.0
22775,0.0
23165,0.0
23446,0.0
23463,0.0
25765,0.0
25907,0.0
26351,0.0
26513,0.0
26705,0.0
29838,0.0
29952,0.0
30423,0.0
30673,0.0
31966,0.0
32457,0.0
33016,0.0
35280,0.0
35934,0.0
36328,0.0
36607,0.0
40062,0.0
46202,0.0
46204,0.0
46282,0.0
46696,0.0
49544,0.0
53305,0.0
53396,0.0
53542,0.0
53559,0.0
53562,0.0
54775,0.0
60269,0.0
62659,0.0
63011,0.0
63321,0.0
63474,0.0
137409,0.0
393520,0.0
393571,0.0
393587,0.0
393759,1.0
393924,0.5
393961,0.0
394122,0.0
395268,0.0
395273,0.0
395288,0.0
396285,0.0
396290,0.0
396497,0.0
396936,1.0
396940,0.0
397325,0.0
397374,0.0
397768,0.0
397843,0.0
397941,0.0
398409,0.0
398492,0.0
399110,0.0
399319,0.0
399604,0.0
400537,0.0
400615,0.0
401237,0.0
70,1.0
393689,0.0
72,1.0
4826,1.0
24482,0.0
77,0.25
1828,0.0
5723,1.0
6057,1.0
8220,1.0
11039,0.0
20253,0.0
40934,0.0
57695,0.5
60171,1.0
81,1.0
6559,0.0
10952,1.0
11442,1.0
11777,0.0
13371,1.0
13862,0.0
18538,1.0
19161,0.0
19413,1.0
19718,0.0
20197,0.0
22862,0.0
26741,1.0
32417,1.0
32711,0.0
33401,0.0
36850,1.0
40245,0.0
46255,0.0
46794,0.0
46963,0.0
53384,0.25
53785,1.0
393824,0.0
393875,0.0
394165,0.0
395312,0.0
395465,0.0
396028,1.0
396391,0.0
396837,0.0
398580,0.0
399050,0.0
399407,0.0
399565,0.0
399708,0.0
400959,0.0
101,0.0
73,1.0
3428,0.0
3807,1.0
4193,0.0
4777,1.0
7774,0.0
9002,0.0
10430,1.0
11548,0.0
11649,1.0
11956,0.0
13476,1.0
14221,0.0
14954,0.0
17200,0.0
19014,0.0
22972,0.0
40272,0.0
47065,0.0
53472,0.0
64247,0.0
111,0.0
10961,1.0
1547,1.0
2854,0.0
2895,1.0
3218,0.0
3267,0.0
3316,0.0
3327,0.0
5387,0.0
5429,0.0
5431,0.0
5468,0.0
5523,0.0
5568,1.0
6697,0.0
6789,0.0
6820,0.0
6856,0.0
8241,0.0
8242,0.0
8359,0.0
8369,0.0
8400,0.0
8410,0.0
8492,0.0
8595,0.0
8636,0.0
8641,0.0
8764,1.0
8932,0.0
8985,0.0
9039,1.0
9049,0.0
9110,0.0
9177,0.0
9498,1.0
10099,1.0
11284,0.0
12297,0.0
12389,0.0
12418,0.0
12494,0.0
12668,0.0
12695,0.0
12976,0.0
12993,0.0
13002,0.0
13094,0.0
13215,0.0
13238,0.0
15169,1.0
15599,0.0
15672,0.0
15682,0.0
15754,0.0
15757,0.0
16143,0.0
20483,0.0
20764,0.0
20985,0.0
21030,0.0
21135,0.0
21367,0.0
21416,0.0
21446,0.0
21453,1.0
24663,0.0
24689,0.0
24936,0.0
25091,1.0
25189,0.0
25231,0.0
25355,0.0
25371,0.0
25451,0.0
25532,0.0
25549,0.0
26415,0.0
28709,0.0
28761,0.0
28890,0.0
28891,0.0
28917,0.0
28968,0.0
29049,1.0
29076,0.0
29124,0.0
29182,0.0
29226,0.0
29303,0.0
29329,0.0
30124,0.0
30833,0.0
31059,0.0
31133,0.0
31174,0.0
31214,0.0
31294,0.0
31359,0.0
31370,0.0
31430,0.0
31499,0.0
31500,0.0
34123,0.0
34139,0.0
34170,0.0
34456,0.0
34545,0.0
34550,0.0
34602,0.0
34757,0.0
34879,0.0
35000,0.0
35032,0.0
35087,0.0
35237,0.0
35271,0.0
35522,0.0
35539,0.0
35598,0.0
35723,0.0
35768,0.0
35807,0.0
35810,0.0
38040,1.0
39087,0.0
39089,0.0
39134,0.0
39337,0.0
39360,0.0
39529,0.0
39684,0.0
39728,0.0
39821,0.0
40676,1.0
40995,0.0
41039,0.0
41148,0.0
41185,0.0
41187,0.0
41275,0.0
41446,0.0
41601,0.0
41617,0.0
41718,0.0
41794,0.0
41798,0.0
41802,0.0
42139,0.0
42239,0.0
42291,0.0
42498,0.0
42511,0.0
42518,0.0
42532,0.0
42574,0.0
42632,0.0
42728,0.0
42893,0.0
42909,0.0
42916,0.0
42919,0.0
43045,1.0
43048,0.0
43226,0.0
43278,0.0
43298,0.0
43330,0.0
43404,0.0
43465,0.0
43530,0.0
43667,0.0
43714,0.0
43727,0.0
43832,0.0
44020,0.0
44030,0.0
44128,0.0
44206,0.0
44347,0.0
44386,0.0
44391,0.0
44587,0.0
44772,0.0
44843,0.0
44845,0.0
44927,0.0
44943,0.0
44964,0.0
45055,0.0
45102,0.0
47104,0.0
47122,0.0
47156,0.0
47165,0.0
47211,0.0
47321,0.0
47333,0.0
47433,0.0
47478,0.0
47541,0.0
47542,0.0
47562,0.0
47569,0.0
47586,0.0
47618,0.0
47626,0.0
47645,0.0
47655,0.0
47764,0.0
47775,0.0
47895,0.0
47989,0.0
48084,0.0
48128,0.0
48166,0.0
48249,0.0
48282,1.0
48287,0.0
48293,0.0
48349,0.0
48366,0.0
48399,0.0
48467,0.0
48507,0.0
48558,0.0
48610,0.0
48614,0.0
48642,0.0
48739,0.0
48822,1.0
48882,0.0
48914,0.0
48940,0.0
49063,0.0
49106,0.0
49120,0.0
49124,0.0
49136,0.0
49218,0.0
49368,0.0
49403,0.0
49458,0.0
49505,0.0
49531,0.0
49675,0.0
49730,0.0
49776,0.0
49779,0.0
49800,1.0
49814,0.0
49954,0.0
50060,0.0
50157,0.0
50166,0.0
50241,0.0
50254,0.0
50265,0.0
50313,0.0
50340,0.0
50384,0.0
50473,0.0
50509,0.0
50538,0.0
50776,0.0
50911,0.0
50923,0.0
51028,0.0
51092,0.0
51178,0.0
51218,0.0
51297,0.0
51343,0.0
51464,0.0
51515,0.0
51601,0.0
51669,0.0
51685,0.0
51764,0.0
51904,0.0
51973,0.0
52091,0.0
55256,1.0
55818,0.0
56407,0.0
56534,0.0
56630,1.0
56679,0.0
56694,0.0
56814,0.0
56864,0.0
57073,0.0
57164,0.0
57233,0.0
57277,0.0
57363,0.0
57463,0.0
57487,0.0
57512,0.0
57531,0.0
57629,0.0
57724,0.0
57918,0.0
58002,0.0
58067,0.0
58310,0.0
59624,0.0
59693,0.0
59883,0.0
60072,0.0
60119,0.0
60246,0.0
60280,0.0
60283,0.0
60337,0.0
60347,0.0
60357,0.0
60388,0.0
60459,0.0
60544,0.0
60764,0.0
60840,0.0
61010,0.0
61111,0.0
61121,0.0
61237,0.0
61308,0.0
61400,0.0
61976,0.0
62040,0.0
62044,1.0
62103,0.0
62146,0.0
62205,0.0
62247,0.0
62261,0.0
62314,0.0
62379,0.0
64433,0.0
136907,1.0
139901,0.0
196695,0.0
196750,0.0
196925,0.0
197062,0.0
197275,0.0
197309,0.0
197394,0.0
197826,0.0
197969,0.0
198076,0.0
198185,0.0
198297,0.0
198539,0.0
198610,0.0
199020,0.0
199599,0.0
199624,0.0
200044,0.0
200350,1.0
200487,0.0
200976,0.0
201119,0.0
201211,0.0
201706,0.0
201776,0.0
202173,0.0
202486,0.0
202498,0.0
202984,0.0
203118,0.0
204271,0.0
204582,0.0
204600,0.0
204720,0.0
205022,0.0
205063,0.0
205638,0.0
206295,0.0
206810,0.0
206846,0.0
207133,0.0
207239,0.0
207561,0.0
207785,0.0
208349,0.0
209030,0.0
209141,0.0
209307,0.0
210063,0.0
210357,0.0
210443,0.0
210756,0.0
211157,0.0
211914,0.0
212236,0.0
213075,0.0
213452,0.0
213499,0.0
213624,0.0
213922,0.0
216262,0.0
216334,0.0
122,1.0
137,0.0
1267,0.0
2597,1.0
3275,1.0
3303,0.0
4455,0.0
5502,1.0
6461,0.0
8218,1.0
8660,0.0
8978,1.0
9009,0.0
12779,1.0
13030,0.0
14537,0.0
16004,0.0
20745,0.0
20811,1.0
22356,0.0
24961,0.0
29609,0.0
33891,0.0
35110,0.0
39120,0.0
42081,0.0
42165,1.0
49709,0.0
49976,0.0
51185,1.0
51708,0.0
199342,0.0
202032,0.0
209631,0.0
212483,0.0
149,0.0
367,0.0
159,1.0
3112,1.0
160,1.0
2153,0.0
40387,0.0
161,0.0
2562,1.0
173,1.0
2511,0.0
9370,0.0
38639,0.0
174,0.0
14,1.0
18,1.0
20,1.0
29,1.0
91,1.0
92,1.0
98,1.0
103,0.0
156,0.0
188,1.0
209,1.0
210,0.0
223,1.0
237,1.0
249,0.0
264,1.0
376,0.0
513,0.0
557,0.0
558,0.0
577,0.0
693,0.0
701,1.0
703,1.0
766,0.0
800,0.0
803,1.0
812,0.0
819,0.0
889,1.0
892,0.0
897,0.0
902,0.0
906,0.0
927,0.0
930,0.0
932,0.0
939,0.0
954,0.0
971,0.0
973,0.0
978,0.0
979,0.0
983,0.0
984,0.0
992,0.0
998,0.0
999,0.0
1008,0.0
1031,0.0
1065,0.0
1086,1.0
1088,1.0
1089,0.0
1096,0.0
1097,0.0
1100,0.0
1204,1.0
1213,1.0
1239,1.0
1246,0.0
1257,1.0
1265,0.0
1277,0.0
1286,1.0
1289,1.0
1299,0.0
1311,0.0
1312,1.0
1351,0.0
1355,1.0
1378,0.0
1403,1.0
1406,1.0
1411,1.0
1419,1.0
1421,1.0
1422,1.0
1423,1.0
1439,1.0
1442,1.0
1443,1.0
1448,1.0
1605,0.0
1610,1.0
1616,1.0
1622,0.0
1635,1.0
1647,1.0
1680,1.0
1742,0.0
1764,1.0
1790,0.0
1798,0.0
1825,0.0
1836,0.0
1886,1.0
1916,0.0
1930,1.0
1968,0.0
1996,1.0
2018,1.0
2033,0.0
2044,0.0
2047,1.0
2107,1.0
2108,0.0
2149,0.0
2200,0.0
2288,0.0
2485,0.0
2495,1.0
2497,1.0
2519,0.0
2544,0.0
2549,1.0
2552,1.0
2567,0.0
2572,0.25
2589,1.0
2611,1.0
2614,0.0
2637,1.0
2639,1.0
2707,1.0
2711,1.0
2721,0.0
2728,1.0
2729,0.0
2731,1.0
2828,1.0
2857,1.0
2860,0.0
2901,1.0
2903,1.0
2914,0.0
3061,1.0
3064,1.0
3130,1.0
3132,1.0
3170,0.0
3213,0.0
3216,0.0
3223,0.0
3238,1.0
3245,0.0
3252,1.0
3255,1.0
3257,0.0
3266,1.0
3302,1.0
3320,1.0
3326,1.0
3330,0.0
3356,1.0
3360,0.0
3389,1.0
3399,1.0
3401,0.0
3450,0.0
3464,1.0
3479,1.0
3491,1.0
3512,1.0
3580,0.75
3599,0.0
3653,0.0
3663,1.0
3685,1.0
3701,0.25
3714,0.0
3741,0.0
3755,1.0
3777,0.0
3778,1.0
3782,0.0
3786,0.0
3789,0.0
3795,0.0
3819,0.0
3851,1.0
3853,0.0
3855,0.0
3927,1.0
4010,1.0
4046,1.0
4058,0.0
4134,0.0
4136,0.0
4190,0.0
4195,1.0
4213,1.0
4224,1.0
4226,0.0
4246,0.0
4255,0.0
4261,0.0
4314,0.0
4385,1.0
4474,1.0
4508,1.0
4538,0.0
4544,1.0
4546,0.0
4563,0.0
4581,0.0
4646,1.0
4651,0.0
4761,1.0
4764,1.0
4766,0.0
4773,0.0
4775,0.0
4788,1.0
4800,1.0
4818,0.0
4837,0.0
4857,0.0
4867,1.0
4886,0.0
4888,1.0
4889,1.0
4890,1.0
4894,0.0
4897,0.0
4913,0.0
4917,1.0
4927,0.0
4965,0.0
4972,1.0
5008,1.0
5009,0.0
5022,1.0
5033,0.0
5050,0.0
5056,0.0
5069,1.0
5078,0.0
5108,0.0
5377,0.75
5390,0.0
5391,0.0
5392,1.0
5398,0.0
5400,0.0
5410,0.0
5416,0.0
5436,1.0
5459,0.0
5466,0.0
5486,0.0
5500,1.0
5505,0.0
5511,0.0
5538,1.0
5564,0.25
5578,0.0
5587,1.0
5610,0.0
5631,1.0
5639,0.0
5650,0.0
5661,0.0
5690,0.0
5696,1.0
5697,1.0
5713,1.0
5716,1.0
5719,0.0
5724,0.0
5742,1.0
5760,1.0
5769,0.0
6059,1.0
6074,1.0
6082,1.0
6103,0.0
6109,0.0
6122,0.0
6124,0.0
6128,0.0
6147,1.0
6169,1.0
6181,0.0
6199,0.0
6200,0.5
6206,0.0
6208,0.0
6220,1.0
6231,1.0
6253,1.0
6305,0.0
6315,1.0
6325,0.5
6327,0.0
6336,1.0
6341,1.0
6343,0.0
6364,1.0
6379,1.0
6391,0.0
6400,0.0
6405,1.0
6424,1.0
6434,1.0
6453,0.0
6485,0.0
6503,1.0
6536,0.0
6561,0.0
6566,0.0
6619,0.0
6620,0.25
6621,1.0
6653,0.0
6667,0.0
6674,0.6
6677,0.0
6698,0.0
6700,0.0
6713,1.0
6718,0.0
6738,1.0
6752,0.0
6758,1.0
6759,1.0
6764,1.0
6768,1.0
6772,0.0
6775,0.0
6776,0.0
6810,0.0
6849,0.5
6866,0.0
6876,0.0
6893,1.0
6894,0.0
6908,0.0
6913,1.0
6977,0.0
7018,0.0
7040,1.0
7049,1.0
7057,1.0
7065,1.0
7078,0.0
7106,1.0
7131,0.0
7138,1.0
7151,0.0
7153,1.0
7162,0.0
7194,1.0
7195,0.0
7201,0.0
7203,1.0
7219,1.0
7221,1.0
7227,1.0
7250,1.0
7270,1.0
7296,0.0
7297,0.0
7310,1.0
7311,0.5
7341,0.0
7354,0.0
7362,1.0
7366,1.0
7393,0.0
7403,1.0
7413,0.0
7415,1.0
7423,0.0
7488,0.0
7489,0.0
7497,0.0
7529,0.0
7545,0.0
7594,0.0
7632,0.0
7642,0.0
7679,0.0
7713,1.0
7734,1.0
7741,1.0
7761,1.0
7762,1.0
7765,0.0
7784,1.0
7794,0.0
7806,0.0
7810,0.0
7819,0.0
7828,1.0
7835,1.0
7862,0.0
7868,1.0
7883,1.0
7908,1.0
7914,1.0
7922,1.0
7932,1.0
7941,1.0
7979,0.0
7985,1.0
7992,0.5
8001,1.0
8002,1.0
8015,0.0
8025,1.0
8057,0.0
8069,0.0
8075,0.0
8095,0.0
8100,0.5
8103,1.0
8149,1.0
8151,0.0
8224,0.0
8271,1.0
8280,1.0
8282,0.0
8285,0.0
8304,1.0
8309,1.0
8346,1.0
8368,0.0
8374,1.0
8399,0.0
8422,0.0
8423,0.0
8444,1.0
8452,1.0
8462,0.0
8487,0.0
8518,1.0
8529,1.0
8544,1.0
8551,0.0
8553,1.0
8558,0.0
8632,0.0
8637,1.0
8657,0.0
8681,0.0
8683,1.0
8687,1.0
8708,1.0
8728,1.0
8739,0.0
8781,1.0
8788,1.0
8796,0.0
8798,1.0
8816,1.0
8820,0.0
8821,0.0
8839,0.0
8849,0.0
8855,1.0
8856,1.0
8859,1.0
8860,0.0
8881,0.0
8899,0.0
8902,0.0
8911,1.0
8921,1.0
8926,0.0
8966,1.0
9008,0.0
9022,0.0
9031,0.0
9038,0.0
9044,0.0
9063,0.0
9070,0.75
9086,1.0
9092,0.0
9100,0.0
9104,0.0
9119,0.5
9123,0.0
9140,1.0
9141,1.0
9142,1.0
9145,1.0
9150,1.0
9153,0.0
9158,0.0
9161,0.0
9165,1.0
9166,1.0
9168,0.0
9172,1.0
9193,1.0
9198,0.0
9211,0.0
9241,1.0
9246,0.0
9269,0.0
9304,0.0
9336,0.0
9381,0.0
9457,0.0
9500,0.0
9505,0.0
9541,0.0
9583,0.0
9658,0.0
9680,0.0
9744,0.0
9751,0.0
9824,0.25
9829,0.0
9886,0.0
9902,0.0
9908,0.0
9929,0.0
10030,0.0
10111,0.0
10122,0.0
10131,0.0
10226,0.0
10242,0.0
10279,1.0
10297,0.0
10298,0.0
10325,0.0
10326,0.0
10361,1.0
10367,1.0
10379,0.0
10396,0.0
10405,0.0
10411,0.0
10423,1.0
10439,1.0
10445,0.0
10461,0.0
10490,0.0
10561,0.0
10578,0.0
10587,0.0
10617,0.0
10655,0.0
10660,0.0
10674,1.0
10694,0.0
10700,0.5
10708,0.0
10717,1.0
10725,1.0
10730,0.0
10732,0.0
10745,0.0
10747,0.0
10750,0.0
10778,0.0
10780,0.0
10804,0.0
10818,0.0
10835,0.0
10844,0.0
10849,0.0
10913,0.0
10929,0.0
10971,0.0
10990,0.0
10991,0.0
11005,0.0
11019,0.0
11023,0.0
11029,0.0
11031,0.0
11042,0.0
11047,0.0
11049,0.0
11054,0.0
11062,0.0
11068,0.0
11071,0.0
11077,0.0
11085,0.0
11092,0.0
11096,0.0
11128,0.0
11140,0.0
11142,1.0
11158,0.0
11160,0.0
11166,0.0
11172,1.0
11178,1.0
11179,0.0
11183,0.0
11184,0.0
11191,0.75
11195,0.0
11218,0.0
11221,0.0
11227,0.0
11228,0.0
11233,1.0
11240,1.0
11248,0.0
